origin,destination,distance_meters,duration_seconds,duration_in_traffic_seconds,timestamp,hour,day,month,weekday,is_weekend
"Empire State Building, New York, NY","Coney Island, Brooklyn, NY",30602,2192,1941,,,,,,0
"Empire State Building, New York, NY","Wall Street, New York, NY",8741,1062,837,,,,,,0
"One World Trade Center, New York, NY","Fifth Avenue, New York, NY",13698,1429,1121,,,,,,0
"One World Trade Center, New York, NY","Coney Island, Brooklyn, NY",22674,1432,1301,,,,,,0
"One World Trade Center, New York, NY","Wall Street, New York, NY",2086,649,447,,,,,,0
"Fifth Avenue, New York, NY","Coney Island, Brooklyn, NY",34090,2436,2126,,,,,,0
"Fifth Avenue, New York, NY","Wall Street, New York, NY",12229,1306,1030,,,,,,0
"Coney Island, Brooklyn, NY","Wall Street, New York, NY",23012,1833,1558,,,,,,0
"Times Square, New York, NY","Central Park, New York, NY",1140,299,206,,,,,,0
"Times Square, New York, NY","Brooklyn Bridge, New York, NY",9274,1229,935,,,,,,0
"Times Square, New York, NY","Statue of Liberty, New York, NY",10197,1363,1043,,,,,,0
"Times Square, New York, NY","Metropolitan Museum of Art, New York, NY",6016,1385,844,,,,,,0
"Times Square, New York, NY","Empire State Building, New York, NY",1655,479,283,,,,,,0
"Times Square, New York, NY","One World Trade Center, New York, NY",7280,1594,1033,,,,,,0
"Times Square, New York, NY","Fifth Avenue, New York, NY",3151,769,563,,,,,,0
"Times Square, New York, NY","Coney Island, Brooklyn, NY",28410,2671,2071,,,,,,0
"Times Square, New York, NY","Wall Street, New York, NY",7228,1770,1093,,,,,,0
"Central Park, New York, NY","Brooklyn Bridge, New York, NY",10492,1159,828,,,,,,0
"Central Park, New York, NY","Statue of Liberty, New York, NY",11415,1294,930,,,,,,0
"Central Park, New York, NY","Metropolitan Museum of Art, New York, NY",7019,1710,973,,,,,,0
"Central Park, New York, NY","Empire State Building, New York, NY",2231,624,322,,,,,,0
"Central Park, New York, NY","One World Trade Center, New York, NY",12667,1391,1006,,,,,,0
"Central Park, New York, NY","Fifth Avenue, New York, NY",1345,206,149,,,,,,0
"Central Park, New York, NY","Coney Island, Brooklyn, NY",33477,2532,2081,,,,,,0
"Central Park, New York, NY","Wall Street, New York, NY",11616,1403,1008,,,,,,0
"Brooklyn Bridge, New York, NY","Statue of Liberty, New York, NY",3765,399,322,,,,,,0
"Brooklyn Bridge, New York, NY","Metropolitan Museum of Art, New York, NY",2268,318,206,,,,,,0
"Brooklyn Bridge, New York, NY","Empire State Building, New York, NY",9093,964,750,,,,,,0
"Brooklyn Bridge, New York, NY","One World Trade Center, New York, NY",5016,497,394,,,,,,0
"Brooklyn Bridge, New York, NY","Fifth Avenue, New York, NY",12400,1248,976,,,,,,0
"Brooklyn Bridge, New York, NY","Coney Island, Brooklyn, NY",22853,1572,1240,,,,,,0
"Brooklyn Bridge, New York, NY","Wall Street, New York, NY",2907,457,342,,,,,,0
"Statue of Liberty, New York, NY","Metropolitan Museum of Art, New York, NY",2052,610,416,,,,,,0
"Statue of Liberty, New York, NY","Empire State Building, New York, NY",8912,1086,847,,,,,,0
"Statue of Liberty, New York, NY","One World Trade Center, New York, NY",1597,374,271,,,,,,0
"Statue of Liberty, New York, NY","Fifth Avenue, New York, NY",12219,1370,1058,,,,,,0
"Statue of Liberty, New York, NY","Coney Island, Brooklyn, NY",22407,1516,1378,,,,,,0
"Statue of Liberty, New York, NY","Wall Street, New York, NY",909,341,236,,,,,,0
"Metropolitan Museum of Art, New York, NY","Empire State Building, New York, NY",4868,1110,697,,,,,,0
"Metropolitan Museum of Art, New York, NY","One World Trade Center, New York, NY",2297,584,374,,,,,,0
"Metropolitan Museum of Art, New York, NY","Fifth Avenue, New York, NY",11489,1400,1082,,,,,,0
"Metropolitan Museum of Art, New York, NY","Coney Island, Brooklyn, NY",23047,1614,1498,,,,,,0
"Metropolitan Museum of Art, New York, NY","Wall Street, New York, NY",1351,442,285,,,,,,0
"Empire State Building, New York, NY","One World Trade Center, New York, NY",9792,1051,826,,,,,,0
"Empire State Building, New York, NY","Fifth Avenue, New York, NY",3740,868,727,,,,,,0
"Empire State Building, New York, NY","Coney Island, Brooklyn, NY",30602,2192,1921,,,,,,0
"Empire State Building, New York, NY","Wall Street, New York, NY",8741,1062,835,,,,,,0
"One World Trade Center, New York, NY","Fifth Avenue, New York, NY",13698,1429,1122,,,,,,0
"One World Trade Center, New York, NY","Coney Island, Brooklyn, NY",22674,1432,1286,,,,,,0
"One World Trade Center, New York, NY","Wall Street, New York, NY",2470,577,407,,,,,,0
"Fifth Avenue, New York, NY","Coney Island, Brooklyn, NY",34090,2436,2116,,,,,,0
"Fifth Avenue, New York, NY","Wall Street, New York, NY",12229,1306,1038,,,,,,0
"Coney Island, Brooklyn, NY","Wall Street, New York, NY",23012,1833,1577,,,,,,0
"India Gate, Delhi, India","Qutub Minar, Delhi, India",12020,1718,2471,,,,,,0
"India Gate, Delhi, India","Lotus Temple, Delhi, India",11445,1372,1746,,,,,,0
"India Gate, Delhi, India","Red Fort, Delhi, India",7520,818,955,,,,,,0
"India Gate, Delhi, India","Humayun's Tomb, Delhi, India",2442,316,406,,,,,,0
"India Gate, Delhi, India","Akshardham Temple, Delhi, India",8629,815,936,,,,,,0
"India Gate, Delhi, India","Connaught Place, Delhi, India",4310,613,675,,,,,,0
"India Gate, Delhi, India","Chandni Chowk, Delhi, India",6036,1174,1537,,,,,,0
"India Gate, Delhi, India","Raj Ghat, Delhi, India",9161,790,908,,,,,,0
"India Gate, Delhi, India","Jama Masjid, Delhi, India",5638,1032,1305,,,,,,0
"India Gate, Delhi, India","National Museum, Delhi, India",2245,278,314,,,,,,0
"India Gate, Delhi, India","Lodhi Garden, Delhi, India",3402,588,579,,,,,,0
"India Gate, Delhi, India","National Gallery of Modern Art, Delhi, India",249,52,57,,,,,,0
"India Gate, Delhi, India","Parliament House, Delhi, India",4006,565,592,,,,,,0
"India Gate, Delhi, India","Presidential Palace (Rashtrapati Bhavan), Delhi, India",3679,496,562,,,,,,0
"India Gate, Delhi, India","Gurudwara Bangla Sahib, Delhi, India",4579,606,707,,,,,,0
"India Gate, Delhi, India","Dilli Haat, Delhi, India",8569,1148,1399,,,,,,0
"India Gate, Delhi, India","Saket Mall, Delhi, India",12555,1774,2313,,,,,,0
"India Gate, Delhi, India","Khan Market, Delhi, India",2282,578,543,,,,,,0
"India Gate, Delhi, India","Hauz Khas Village, Delhi, India",9414,1284,1594,,,,,,0
"India Gate, Delhi, India","Chhatarpur Temple, Delhi, India",15064,2177,2943,,,,,,0
"India Gate, Delhi, India","Kingdom of Dreams, Gurgaon, Delhi, India",32312,3092,3874,,,,,,0
"India Gate, Delhi, India","Sanjay Gandhi Transport Nagar, Delhi, India",25793,2360,3175,,,,,,0
"India Gate, Delhi, India","Nehru Planetarium, Delhi, India",4813,595,810,,,,,,0
"India Gate, Delhi, India","Shankar's International Dolls Museum, Delhi, India",3904,603,758,,,,,,0
"India Gate, Delhi, India","ISKCON Temple, Delhi, India",8062,1269,1586,,,,,,0
"India Gate, Delhi, India","Rashtrapati Bhavan Gardens, Delhi, India",3292,437,508,,,,,,0
"India Gate, Delhi, India","Delhi Zoo, Delhi, India",3117,410,475,,,,,,0
"India Gate, Delhi, India","Gurudwara Sis Ganj Sahib, Delhi, India",9864,1283,1813,,,,,,0
"India Gate, Delhi, India","Mahatma Gandhi Memorial, Delhi, India",6988,730,843,,,,,,0
"India Gate, Delhi, India","National Handicrafts and Handlooms Museum, Delhi, India",1870,206,294,,,,,,0
"India Gate, Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",11445,1372,1755,,,,,,0
"India Gate, Delhi, India","Tughlaqabad Fort, Delhi, India",13420,2051,2630,,,,,,0
"India Gate, Delhi, India","Feroz Shah Kotla Fort, Delhi, India",6548,722,835,,,,,,0
"India Gate, Delhi, India","Safdarjung's Tomb, Delhi, India",5845,709,763,,,,,,0
"India Gate, Delhi, India","Jantar Mantar, Delhi, India",4144,621,694,,,,,,0
"India Gate, Delhi, India","Shah Jahan Park, Delhi, India",1335,205,225,,,,,,0
"India Gate, Delhi, India","Connaught Place, Delhi, India",4310,613,678,,,,,,0
"India Gate, Delhi, India","Paharganj, Delhi, India",6285,1263,1382,,,,,,0
"India Gate, Delhi, India","Chandni Chowk, Delhi, India",6818,1120,1742,,,,,,0
"India Gate, Delhi, India","Pitampura TV Tower, Delhi, India",26942,2682,2920,,,,,,0
"India Gate, Delhi, India","Mundka Industrial Area, Delhi, India",26738,3856,5216,,,,,,0
"India Gate, Delhi, India","Dwarka Sector 21, Delhi, India",24356,2604,3677,,,,,,0
"India Gate, Delhi, India","Khan Market, Delhi, India",2282,578,530,,,,,,0
"India Gate, Delhi, India","Sarai Rohilla, Delhi, India",11556,1733,2152,,,,,,0
"India Gate, Delhi, India","Lajpat Nagar, Delhi, India",7324,997,1178,,,,,,0
"India Gate, Delhi, India","Punjabi Bagh, Delhi, India",14000,1986,2742,,,,,,0
"India Gate, Delhi, India","Greater Kailash, Delhi, India",9981,1034,1344,,,,,,0
"India Gate, Delhi, India","Vasant Kunj, Delhi, India",14792,1885,2398,,,,,,0
"India Gate, Delhi, India","Noida Sector 18, Delhi, India",9187,1024,1199,,,,,,0
"India Gate, Delhi, India","Azadpur Mandi, Delhi, India",19963,2365,2716,,,,,,0
"India Gate, Delhi, India","Delhi Airport (Indira Gandhi International Airport), Delhi, India",15176,1660,2083,,,,,,0
"Qutub Minar, Delhi, India","Lotus Temple, Delhi, India",9411,1337,2182,,,,,,0
"Qutub Minar, Delhi, India","Red Fort, Delhi, India",20827,2365,3389,,,,,,0
"Qutub Minar, Delhi, India","Humayun's Tomb, Delhi, India",11775,1682,2388,,,,,,0
"Qutub Minar, Delhi, India","Akshardham Temple, Delhi, India",18696,2143,3335,,,,,,0
"Qutub Minar, Delhi, India","Connaught Place, Delhi, India",13810,1905,2852,,,,,,0
"Qutub Minar, Delhi, India","Chandni Chowk, Delhi, India",17013,2523,4047,,,,,,0
"Qutub Minar, Delhi, India","Raj Ghat, Delhi, India",22468,2337,3263,,,,,,0
"Qutub Minar, Delhi, India","Jama Masjid, Delhi, India",18945,2580,3691,,,,,,0
"Qutub Minar, Delhi, India","National Museum, Delhi, India",11145,1523,2358,,,,,,0
"Qutub Minar, Delhi, India","Lodhi Garden, Delhi, India",9652,1436,2279,,,,,,0
"Qutub Minar, Delhi, India","National Gallery of Modern Art, Delhi, India",14350,1678,2603,,,,,,0
"Qutub Minar, Delhi, India","Parliament House, Delhi, India",11915,1696,2584,,,,,,0
"Qutub Minar, Delhi, India","Presidential Palace (Rashtrapati Bhavan), Delhi, India",11588,1627,2474,,,,,,0
"Qutub Minar, Delhi, India","Gurudwara Bangla Sahib, Delhi, India",14079,1898,2922,,,,,,0
"Qutub Minar, Delhi, India","Dilli Haat, Delhi, India",9308,1462,2245,,,,,,0
"Qutub Minar, Delhi, India","Saket Mall, Delhi, India",4167,656,850,,,,,,0
"Qutub Minar, Delhi, India","Khan Market, Delhi, India",10329,1615,2526,,,,,,0
"Qutub Minar, Delhi, India","Hauz Khas Village, Delhi, India",5020,965,1430,,,,,,0
"Qutub Minar, Delhi, India","Chhatarpur Temple, Delhi, India",4900,774,872,,,,,,0
"Qutub Minar, Delhi, India","Kingdom of Dreams, Gurgaon, Delhi, India",29061,3552,4744,,,,,,0
"Qutub Minar, Delhi, India","Sanjay Gandhi Transport Nagar, Delhi, India",32297,3761,5477,,,,,,0
"Qutub Minar, Delhi, India","Nehru Planetarium, Delhi, India",10669,1495,2713,,,,,,0
"Qutub Minar, Delhi, India","Shankar's International Dolls Museum, Delhi, India",17211,2151,3165,,,,,,0
"Qutub Minar, Delhi, India","ISKCON Temple, Delhi, India",9825,1516,2499,,,,,,0
"Qutub Minar, Delhi, India","Rashtrapati Bhavan Gardens, Delhi, India",11201,1568,2400,,,,,,0
"Qutub Minar, Delhi, India","Delhi Zoo, Delhi, India",16424,1957,2873,,,,,,0
"Qutub Minar, Delhi, India","Gurudwara Sis Ganj Sahib, Delhi, India",23954,2911,4068,,,,,,0
"Qutub Minar, Delhi, India","Mahatma Gandhi Memorial, Delhi, India",20295,2277,3193,,,,,,0
"Qutub Minar, Delhi, India","National Handicrafts and Handlooms Museum, Delhi, India",15177,1753,2686,,,,,,0
"Qutub Minar, Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",9411,1337,2144,,,,,,0
"Qutub Minar, Delhi, India","Tughlaqabad Fort, Delhi, India",11607,2099,3034,,,,,,0
"Qutub Minar, Delhi, India","Feroz Shah Kotla Fort, Delhi, India",19855,2269,3183,,,,,,0
"Qutub Minar, Delhi, India","Safdarjung's Tomb, Delhi, India",8152,1186,2017,,,,,,0
"Qutub Minar, Delhi, India","Jantar Mantar, Delhi, India",13644,1913,2965,,,,,,0
"Qutub Minar, Delhi, India","Shah Jahan Park, Delhi, India",10746,1543,2435,,,,,,0
"Qutub Minar, Delhi, India","Connaught Place, Delhi, India",13810,1905,2917,,,,,,0
"Qutub Minar, Delhi, India","Paharganj, Delhi, India",17051,2515,3986,,,,,,0
"Qutub Minar, Delhi, India","Chandni Chowk, Delhi, India",17013,2523,4068,,,,,,0
"Qutub Minar, Delhi, India","Pitampura TV Tower, Delhi, India",26149,2940,4097,,,,,,0
"Qutub Minar, Delhi, India","Mundka Industrial Area, Delhi, India",37008,4509,5582,,,,,,0
"Qutub Minar, Delhi, India","Dwarka Sector 21, Delhi, India",17001,2697,3630,,,,,,0
"Qutub Minar, Delhi, India","Khan Market, Delhi, India",10329,1615,2506,,,,,,0
"Qutub Minar, Delhi, India","Sarai Rohilla, Delhi, India",22937,3204,4498,,,,,,0
"Qutub Minar, Delhi, India","Lajpat Nagar, Delhi, India",9618,1508,2288,,,,,,0
"Qutub Minar, Delhi, India","Punjabi Bagh, Delhi, India",22444,2878,3503,,,,,,0
"Qutub Minar, Delhi, India","Greater Kailash, Delhi, India",8392,1192,2062,,,,,,0
"Qutub Minar, Delhi, India","Vasant Kunj, Delhi, India",4568,1086,1528,,,,,,0
"Qutub Minar, Delhi, India","Noida Sector 18, Delhi, India",19253,2352,3629,,,,,,0
"Qutub Minar, Delhi, India","Azadpur Mandi, Delhi, India",28465,3131,4434,,,,,,0
"Qutub Minar, Delhi, India","Delhi Airport (Indira Gandhi International Airport), Delhi, India",12142,1384,1933,,,,,,0
"Lotus Temple, Delhi, India","Red Fort, Delhi, India",14007,1590,2083,,,,,,0
"Lotus Temple, Delhi, India","Humayun's Tomb, Delhi, India",5812,821,1513,,,,,,0
"Lotus Temple, Delhi, India","Akshardham Temple, Delhi, India",12180,1312,1741,,,,,,0
"Lotus Temple, Delhi, India","Connaught Place, Delhi, India",11659,1580,2338,,,,,,0
"Lotus Temple, Delhi, India","Chandni Chowk, Delhi, India",14118,2015,2889,,,,,,0
"Lotus Temple, Delhi, India","Raj Ghat, Delhi, India",15648,1562,1994,,,,,,0
"Lotus Temple, Delhi, India","Jama Masjid, Delhi, India",14941,1878,2551,,,,,,0
"Lotus Temple, Delhi, India","National Museum, Delhi, India",9594,1245,1952,,,,,,0
"Lotus Temple, Delhi, India","Lodhi Garden, Delhi, India",10670,1295,1722,,,,,,0
"Lotus Temple, Delhi, India","National Gallery of Modern Art, Delhi, India",9817,1184,1800,,,,,,0
"Lotus Temple, Delhi, India","Parliament House, Delhi, India",11355,1532,2277,,,,,,0
"Lotus Temple, Delhi, India","Presidential Palace (Rashtrapati Bhavan), Delhi, India",11028,1463,2207,,,,,,0
"Lotus Temple, Delhi, India","Gurudwara Bangla Sahib, Delhi, India",11928,1573,2347,,,,,,0
"Lotus Temple, Delhi, India","Dilli Haat, Delhi, India",8603,1251,2300,,,,,,0
"Lotus Temple, Delhi, India","Saket Mall, Delhi, India",8214,1231,1711,,,,,,0
"Lotus Temple, Delhi, India","Khan Market, Delhi, India",8533,1345,1956,,,,,,0
"Lotus Temple, Delhi, India","Hauz Khas Village, Delhi, India",9285,1358,1717,,,,,,0
"Lotus Temple, Delhi, India","Chhatarpur Temple, Delhi, India",13399,1937,2683,,,,,,0
"Lotus Temple, Delhi, India","Kingdom of Dreams, Gurgaon, Delhi, India",33348,3884,4832,,,,,,0
"Lotus Temple, Delhi, India","Sanjay Gandhi Transport Nagar, Delhi, India",31564,3121,4698,,,,,,0
"Lotus Temple, Delhi, India","Nehru Planetarium, Delhi, India",11854,1539,2443,,,,,,0
"Lotus Temple, Delhi, India","Shankar's International Dolls Museum, Delhi, India",12857,1587,2272,,,,,,0
"Lotus Temple, Delhi, India","ISKCON Temple, Delhi, India",2467,413,618,,,,,,0
"Lotus Temple, Delhi, India","Rashtrapati Bhavan Gardens, Delhi, India",10641,1404,2141,,,,,,0
"Lotus Temple, Delhi, India","Delhi Zoo, Delhi, India",10640,1352,1979,,,,,,0
"Lotus Temple, Delhi, India","Gurudwara Sis Ganj Sahib, Delhi, India",15443,2043,3145,,,,,,0
"Lotus Temple, Delhi, India","Mahatma Gandhi Memorial, Delhi, India",12567,1490,2145,,,,,,0
"Lotus Temple, Delhi, India","National Handicrafts and Handlooms Museum, Delhi, India",9275,1204,1791,,,,,,0
"Lotus Temple, Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",0,0,9,,,,,,0
"Lotus Temple, Delhi, India","Tughlaqabad Fort, Delhi, India",5886,1137,1470,,,,,,0
"Lotus Temple, Delhi, India","Feroz Shah Kotla Fort, Delhi, India",13035,1494,1950,,,,,,0
"Lotus Temple, Delhi, India","Safdarjung's Tomb, Delhi, India",11944,1421,1890,,,,,,0
"Lotus Temple, Delhi, India","Jantar Mantar, Delhi, India",11493,1588,2368,,,,,,0
"Lotus Temple, Delhi, India","Shah Jahan Park, Delhi, India",9043,1331,1803,,,,,,0
"Lotus Temple, Delhi, India","Connaught Place, Delhi, India",11659,1580,2240,,,,,,0
"Lotus Temple, Delhi, India","Paharganj, Delhi, India",16414,2189,3150,,,,,,0
"Lotus Temple, Delhi, India","Chandni Chowk, Delhi, India",14623,2009,2922,,,,,,0
"Lotus Temple, Delhi, India","Pitampura TV Tower, Delhi, India",30437,3327,4276,,,,,,0
"Lotus Temple, Delhi, India","Mundka Industrial Area, Delhi, India",38638,4712,5829,,,,,,0
"Lotus Temple, Delhi, India","Dwarka Sector 21, Delhi, India",27343,2677,3993,,,,,,0
"Lotus Temple, Delhi, India","Khan Market, Delhi, India",8533,1345,1948,,,,,,0
"Lotus Temple, Delhi, India","Sarai Rohilla, Delhi, India",24888,2818,3637,,,,,,0
"Lotus Temple, Delhi, India","Lajpat Nagar, Delhi, India",3591,564,823,,,,,,0
"Lotus Temple, Delhi, India","Punjabi Bagh, Delhi, India",26441,2896,3710,,,,,,0
"Lotus Temple, Delhi, India","Greater Kailash, Delhi, India",3911,687,851,,,,,,0
"Lotus Temple, Delhi, India","Vasant Kunj, Delhi, India",14794,1812,2472,,,,,,0
"Lotus Temple, Delhi, India","Noida Sector 18, Delhi, India",13188,1531,2002,,,,,,0
"Lotus Temple, Delhi, India","Azadpur Mandi, Delhi, India",25542,3125,4179,,,,,,0
"Lotus Temple, Delhi, India","Delhi Airport (Indira Gandhi International Airport), Delhi, India",16477,1670,2349,,,,,,0
"Red Fort, Delhi, India","Humayun's Tomb, Delhi, India",8833,937,1009,,,,,,0
"Red Fort, Delhi, India","Akshardham Temple, Delhi, India",8055,840,876,,,,,,0
"Red Fort, Delhi, India","Connaught Place, Delhi, India",4693,1044,1164,,,,,,0
"Red Fort, Delhi, India","Chandni Chowk, Delhi, India",1452,506,699,,,,,,0
"Red Fort, Delhi, India","Raj Ghat, Delhi, India",1664,236,238,,,,,,0
"Red Fort, Delhi, India","Jama Masjid, Delhi, India",1054,364,481,,,,,,0
"Red Fort, Delhi, India","National Museum, Delhi, India",6165,1025,1207,,,,,,0
"Red Fort, Delhi, India","Lodhi Garden, Delhi, India",10012,1252,1314,,,,,,0
"Red Fort, Delhi, India","National Gallery of Modern Art, Delhi, India",6852,760,866,,,,,,0
"Red Fort, Delhi, India","Parliament House, Delhi, India",6869,1222,1371,,,,,,0
"Red Fort, Delhi, India","Presidential Palace (Rashtrapati Bhavan), Delhi, India",7230,1269,1455,,,,,,0
"Red Fort, Delhi, India","Gurudwara Bangla Sahib, Delhi, India",6652,1227,1369,,,,,,0
"Red Fort, Delhi, India","Dilli Haat, Delhi, India",14567,1704,2241,,,,,,0
"Red Fort, Delhi, India","Saket Mall, Delhi, India",19038,2190,2941,,,,,,0
"Red Fort, Delhi, India","Khan Market, Delhi, India",8943,1172,1311,,,,,,0
"Red Fort, Delhi, India","Hauz Khas Village, Delhi, India",15894,1982,2320,,,,,,0
"Red Fort, Delhi, India","Chhatarpur Temple, Delhi, India",25568,3015,3778,,,,,,0
"Red Fort, Delhi, India","Kingdom of Dreams, Gurgaon, Delhi, India",24358,2488,3312,,,,,,0
"Red Fort, Delhi, India","Sanjay Gandhi Transport Nagar, Delhi, India",17839,1756,2676,,,,,,0
"Red Fort, Delhi, India","Nehru Planetarium, Delhi, India",11036,1204,1609,,,,,,0
"Red Fort, Delhi, India","Shankar's International Dolls Museum, Delhi, India",2346,529,635,,,,,,0
"Red Fort, Delhi, India","ISKCON Temple, Delhi, India",13632,1579,1825,,,,,,0
"Red Fort, Delhi, India","Rashtrapati Bhavan Gardens, Delhi, India",6844,1187,1400,,,,,,0
"Red Fort, Delhi, India","Delhi Zoo, Delhi, India",7823,935,932,,,,,,0
"Red Fort, Delhi, India","Gurudwara Sis Ganj Sahib, Delhi, India",3385,649,1053,,,,,,0
"Red Fort, Delhi, India","Mahatma Gandhi Memorial, Delhi, India",2721,420,447,,,,,,0
"Red Fort, Delhi, India","National Handicrafts and Handlooms Museum, Delhi, India",4442,764,861,,,,,,0
"Red Fort, Delhi, India","Baha'i House of Worship (Lotus Temple), Delhi, India",16151,1897,2191,,,,,,0
"Red Fort, Delhi, India","Tughlaqabad Fort, Delhi, India",18966,2530,2994,,,,,,0
"Red Fort, Delhi, India","Feroz Shah Kotla Fort, Delhi, India",2703,449,454,,,,,,0
"Red Fort, Delhi, India","Safdarjung's Tomb, Delhi, India",12325,1407,1516,,,,,,0
"Red Fort, Delhi, India","Jantar Mantar, Delhi, India",4885,1032,1191,,,,,,0
"Red Fort, Delhi, India","Shah Jahan Park, Delhi, India",7815,903,1000,,,,,,0
"Red Fort, Delhi, India","Connaught Place, Delhi, India",4693,1044,1153,,,,,,0
"Red Fort, Delhi, India","Paharganj, Delhi, India",4910,1064,1518,,,,,,0
"Red Fort, Delhi, India","Chandni Chowk, Delhi, India",1452,506,756,,,,,,0
"Red Fort, Delhi, India","Pitampura TV Tower, Delhi, India",18988,2078,2115,,,,,,0
"Red Fort, Delhi, India","Mundka Industrial Area, Delhi, India",34112,3744,5100,,,,,,0
"Red Fort, Delhi, India","Dwarka Sector 21, Delhi, India",29084,3233,4731,,,,,,0
"Red Fort, Delhi, India","Khan Market, Delhi, India",9996,1415,1386,,,,,,0
"Red Fort, Delhi, India","Sarai Rohilla, Delhi, India",10447,1442,1595,,,,,,0
"Red Fort, Delhi, India","Lajpat Nagar, Delhi, India",12893,1307,1469,,,,,,0
"Red Fort, Delhi, India","Punjabi Bagh, Delhi, India",16011,2308,2707,,,,,,0
"Red Fort, Delhi, India","Greater Kailash, Delhi, India",14687,1559,1758,,,,,,0
"Red Fort, Delhi, India","Vasant Kunj, Delhi, India",20960,2615,3135,,,,,,0
"Red Fort, Delhi, India","Noida Sector 18, Delhi, India",7618,847,881,,,,,,0
"Red Fort, Delhi, India","Azadpur Mandi, Delhi, India",12009,1761,1949,,,,,,0
"Red Fort, Delhi, India","Delhi Airport (Indira Gandhi International Airport), Delhi, India",20017,2159,2785,,,,,,0
"Humayun's Tomb, Delhi, India","Akshardham Temple, Delhi, India",8955,845,1039,,,,,,0
"Humayun's Tomb, Delhi, India","Connaught Place, Delhi, India",6075,796,886,,,,,,0
"Humayun's Tomb, Delhi, India","Chandni Chowk, Delhi, India",8607,1292,1851,,,,,,0
"Humayun's Tomb, Delhi, India","Raj Ghat, Delhi, India",10982,1004,1065,,,,,,0
